"primary_project","project_id",stream,"stream_id"
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_V6_2_BTLD",11925
"10029916_HPAD_FASIP_Aurix_BMW_MY2021",12646,"10029916_HPAD_FASIP_Aurix_BMW_MY2021_V4_3_Appl",11926
"10028602_MT88_PSI",12688,"10028602_MT88_PSI_12p0NS2",11942
"10029916_HPAD_FASIP_Aurix_BMW_MY2021",12646,"10029916_HPAD_FASIP_Aurix_BMW_MY2021_V4_3_BTLD",11927
"10029916_HPAD_FASIP_Aurix_BMW_MY2021",12646,"10029916_HPAD_FASIP_Aurix_BMW_MY2021_V4_3_BM",11928
"10031289_VECV_Bootblock",12690,"10031289_VECV_Bootblock_SDEC",11943
"10031289_MT86_CNG",12692,"10031289_MT86_CNG_SDEC",11944
"10031534_cgw",12694,"10031534_cgw_host",11945
"10030170_IHU_Android",12387,"10030170_IHU_Android_traffic",11957
"10031534_cgw",12694,"10031534_cgw_evm",11946
"10030147_GWM_71eAD_GP",11907,"10030147_GWM_71eAD_GP_2018_01",11947
"10031342_F360_TRACKER",12034,"10031342_F360_TRACKER_3",11948
"10030181_Volvo_GTT_IC",11112,"10030181_Volvo_GTT_IC_VP_FBL",11949
"10030170_IHU_Android",12387,"10030170_IHU_Android_hdradio",11958
"10031729_MY19_CNHi_NIS",12275,"10031729_MY19_CNHi_NIS_SWDL",11950
"10030945_AUDIMIB3_TOP_CPR_HTC",12023,"10030945_AUDIMIB3_TOP_CPR_main",11935
"00000000_empty_project",10199,"00000000_empty_project_demo_manohar",11951
"002015651_FORD_ADAS_DAT",12790,"002015651_FORD_ADAS_DAT_MRR3",12027
"10030945_AUDIMIB3_TOP_IOC",12129,"10030945_AUDIMIB3_TOP_IOC_CURRENT",11541
"10024823_MT92P1_TULA_48V",12489,"10024823_MT92P1_TULA_48V_MT92P1_VW_TULA_48V_GDI_4CYL_T3_TURBO_LO2",11981
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_BM",11959
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_BTLD",11960
"10030265_mosquitto",12734,"10030265_mosquitto_qnx6",11983
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_SSC",11961
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_FSC",11965
"10029916_HPAD_FASIP_Aurix_BMW_MY2021",12646,"10029916_HPAD_FASIP_Aurix_BMW_MY2021_Appl",11967
"10030265_mosquitto",12734,"10030265_mosquitto_linux_host",11984
"10029916_HPAD_FASIP_Aurix_BMW_MY2021",12646,"10029916_HPAD_FASIP_Aurix_BMW_MY2021_BM",11968
"10029916_HPAD_FASIP_Aurix_BMW_MY2021",12646,"10029916_HPAD_FASIP_Aurix_BMW_MY2021_BTLD",11969
"CC0818AC_ici2_0",12737,"CC0818AC_ici2_0_m4",11985
"IDIMDFBB_mdf_sys_info_isp",12716,"IDIMDFBB_mdf_sys_info_isp_host",11970
"IDIMDFBB_mdf_sys_info_isp",12716,"IDIMDFBB_mdf_sys_info_isp_j6",11971
"10030815_cc0818aa",11259,"10030815_cc0818aa_20p_ap",11986
"10030815_SGM_ICI2_ANDROID",11726,"10030815_SGM_ICI20P_ANDROID",11987
"10031588_MY19_JLR_ISP_HKP_FBL_Utility",12719,"10031588_MY19_JLR_ISP_HKP_FBL_Utility_dv",11972
"10030815_SGM_cc0819ac_VIP_APP_MISRA",12721,"10030815_SGM_cc0819ac_VIP_APP_MISRA_SLEEP",11974
